Place	Bib	Name	First name	Last name	Distance	Adjusted time	Time	Lap 1	Lap 2	Lap 3	Handicap	Difference	% Back	% Winning	% Average	% Median
1	145	Nick O'REILLY	Nick	O'REILLY	Full	57:02.5	57:02.5	9:26.9	27:31.1	20:04.5	+0:00.0	-	-	100%	29.86%	36.28%
2	2	Tracy FOYSTER	Tracy	FOYSTER	Full	57:20.8	57:20.8	8:54.2	27:55.7	20:30.9	+0:00.0	+0:18.3	+0.53%	99.47%	29.48%	35.94%
3	20	Gerard ROBARDS	Gerard	Robards	Full	59:47.8	59:47.8	10:01.3	27:12.8	22:33.7	+0:00.0	+2:45.3	+4.83%	95.39%	26.47%	33.20%
4	99	Scott STYMAN	Scott	STYMAN	Full	1:00:08.3	1:00:08.3	9:18.6	30:39.0	20:10.8	+0:00.0	+3:05.8	+5.43%	94.85%	26.05%	32.82%
5	17	Richard MOURANT	Richard	MOURANT	Full	1:01:28.7	1:01:28.7	9:56.1	28:26.1	23:06.6	+0:00.0	+4:26.2	+7.78%	92.78%	24.40%	31.32%
6	30	Alex TORRANCE	Alex	TORRANCE	Full	1:01:29.2	1:01:29.2	8:58.2	29:12.1	23:18.9	+0:00.0	+4:26.7	+7.79%	92.77%	24.39%	31.31%
7	71	Danny WARNER	Danny	WARNER	Full	1:02:29.9	1:02:29.9	10:21.5	29:48.4	22:20.0	+0:00.0	+5:27.4	+9.57%	91.27%	23.15%	30.18%
8	97	Kaleb ROBARDS	Kaleb	ROBARDS	Full	1:04:31.3	1:04:31.3	9:10.4	32:18.4	23:02.6	+0:00.0	+7:28.8	+13.11%	88.41%	20.66%	27.92%
9	198	AARON NEYLAN	Aaron	NEYLAN	Full	1:02:34.7	1:07:34.7	15:29.6	29:57.4	22:07.8	-5:00.0	+10:32.2	+18.47%	84.41%	16.90%	24.51%
10	8	Dave DE CLOSEY	Dave	DE CLOSEY	Full	1:03:32.0	1:09:32.0	15:24.3	29:55.7	24:12.0	-6:00.0	+12:29.5	+21.90%	82.03%	14.50%	22.32%
11	201	Tracey SEWELL	Tracey	SEWELL	Full	1:02:31.4	1:12:31.4	18:01.4	33:16.8	21:13.2	-10:00.0	+15:28.9	+27.14%	78.65%	10.82%	18.98%
12	159	Simon HARRADENCE	Simon	HARRADENCE	Full	52:36.5	1:12:36.5	28:06.9	26:43.1	17:46.5	-20:00.0	+15:34.0	+27.29%	78.56%	10.71%	18.89%
13	105	Darren JONES	Darren	JONES	Full	1:04:11.6	1:14:11.6	20:39.4	30:01.7	23:30.5	-10:00.0	+17:09.1	+30.07%	76.88%	8.77%	17.12%
14	107	Marcel VAN KAMPEN	Marcel	VAN KAMPEN	Full	1:15:21.0	1:15:21.0	8:14.6	29:16.4	37:50.1	+0:00.0	+18:18.5	+32.10%	75.70%	7.34%	15.83%
15	86	Warren COPPING	Warren	COPPING	Full	1:21:03.3	1:21:03.3	12:48.0	40:55.4	27:19.9	+0:00.0	+24:00.8	+42.10%	70.37%	0.33%	9.45%
16	218	Trudy GADALETA	Trudy	GADALETA	Full	1:07:38.2	1:22:38.2	13:34.8	41:32.9	27:30.5	-15:00.0	+25:35.7	+44.87%	69.03%	-1.62%	7.69%
17	115	Ross SALMON	Ross	SALMON	Full	1:06:35.0	1:29:31.0	25:49.5	35:50.0	27:51.6	-22:56.0	+32:28.5	+56.93%	63.72%	-10.08%	0.00%
18	106	Timothy EADE	Timothy	EADE	Full	1:29:31.8	1:29:31.8	34:46.7	32:41.4	22:03.7	+0:00.0	+32:29.3	+56.96%	63.71%	-10.09%	-0.01%
19	3	Val LAMBARD	Val	LAMBARD	Full	1:29:44.4	1:29:44.4	11:53.3	40:09.6	37:41.5	+0:00.0	+32:41.9	+57.32%	63.56%	-10.35%	-0.25%
20	56	Glenn LANCE	Glenn	LANCE	Full	1:29:45.0	1:29:45.0	11:19.2	37:02.5	41:23.3	+0:00.0	+32:42.5	+57.34%	63.56%	-10.36%	-0.26%
21	130	Mel DUFF	Mel	DUFF	Full	1:20:18.0	1:30:18.0	22:40.6	42:05.0	25:32.3	-10:00.0	+33:15.5	+58.31%	63.17%	-11.04%	-0.88%
22	85	Terence SIMPSON	Terence	SIMPSON	Full	1:00:23.2	1:30:49.2	38:42.8	28:35.7	23:30.8	-30:26.0	+33:46.7	+59.22%	62.81%	-11.68%	-1.46%
23	70	Kev BANNERMAN	Kev	BANNERMAN	Full	1:31:25.1	1:31:25.1	9:09.5	35:54.9	46:20.7	+0:00.0	+34:22.6	+60.27%	62.40%	-12.42%	-2.12%
23	222	Rachel MEAKES	Rachel	MEAKES	Full	1:14:25.1	1:31:25.1	28:51.8	36:44.4	25:49.0	-17:00.0	+34:22.6	+60.27%	62.40%	-12.42%	-2.12%
25	84	Wendy WISE	Wendy	WISE	Full	1:31:26.2	1:31:26.2	13:15.4	39:46.5	38:24.4	+0:00.0	+34:23.7	+60.30%	62.38%	-12.44%	-2.14%
26	47	Ben HALL	Ben	HALL	Full	1:32:03.9	1:32:03.9	44:30.4	26:25.0	21:08.5	+0:00.0	+35:01.4	+61.40%	61.96%	-13.21%	-2.85%
