Place	Bib	Name	First name	Last name	Distance	Time	Lap 1	Lap 2	Lap 3	Difference	% Back	% Winning	% Average	% Median
1	116	Adrian Bartlett			Full	20:54.8	-	-	4:35.6	-	-	100%	67.37%	66.50%
2	62	Scott Thomson	Scott	Thomson	Full	38:04.5	7:37.0	12:28.8	17:58.7	+17:09.7	+82.06%	54.93%	40.60%	39.01%
3	112	Kent Holmes	Kent	Holmes	Full	43:33.3	-	-	31:10.8	+22:38.5	+108.26%	48.02%	32.05%	30.24%
4	41	Colin Woodward	Colin	Woodward	Full	49:20.7	5:09.9	31:30.2	12:40.6	+28:25.9	+135.95%	42.38%	23.02%	20.96%
5	157	Ben Courage	Ben	Courage	Full	50:35.6	8:04.1	25:35.8	16:55.7	+29:40.8	+141.92%	41.34%	21.07%	18.96%
6	88	John King	John	King	Full	51:51.8	8:57.4	24:36.7	18:17.7	+30:57.0	+147.99%	40.32%	19.09%	16.93%
7	94	Danny Khazen	Danny	Khazen	Full	52:54.0	8:52.0	25:15.2	18:46.7	+31:59.2	+152.95%	39.53%	17.47%	15.27%
8	283	Cassandra Heaslip	Cassandra	Heaslip	Full	52:56.8	8:20.5	28:11.8	16:24.5	+32:02.0	+153.17%	39.50%	17.40%	15.19%
9	47	Ben Hall	Ben	Hall	Full	53:18.8	8:28.5	25:03.9	19:46.4	+32:24.0	+154.93%	39.23%	16.83%	14.61%
10	206	Sam Colman	Sam	Colman	Full	54:58.7	8:21.9	25:44.3	20:52.5	+34:03.9	+162.89%	38.04%	14.23%	11.94%
11	212	Dean Webb	Dean	Webb	Full	56:23.2	9:06.0	27:27.1	19:50.0	+35:28.4	+169.62%	37.09%	12.03%	9.68%
12	2	Tracy Foyster	Tracy	Foyster	Full	57:07.5	8:54.6	28:33.2	19:39.8	+36:12.7	+173.15%	36.61%	10.88%	8.50%
13	151	Craig Telling	Craig	Telling	Full	57:10.1	9:24.4	26:24.1	21:21.6	+36:15.3	+173.36%	36.58%	10.81%	8.43%
14	14	Clive Pearce	Clive	Pearce	Full	57:45.2	10:37.8	25:52.4	21:15.0	+36:50.4	+176.16%	36.21%	9.90%	7.50%
15	7	Alex Gilks	Alex	Gilks	Full	57:55.6	9:27.5	27:57.0	20:31.1	+37:00.8	+176.98%	36.10%	9.63%	7.22%
16	234	Andrew Miller	Andrew	Miller	Full	58:27.3	7:55.5	30:12.6	20:19.3	+37:32.5	+179.51%	35.78%	8.81%	6.37%
17	20	Gerard Robards	Gerard	Robards	Full	58:51.2	10:05.8	26:23.7	22:21.7	+37:56.4	+181.42%	35.53%	8.18%	5.73%
18	17	Richard Mourant	Richard	Mourant	Full	58:52.4	9:59.8	26:36.2	22:16.5	+37:57.6	+181.51%	35.52%	8.15%	5.70%
19	104	Viv Wright	Viv	Wright	Full	58:55.3	9:16.2	28:42.3	20:56.8	+38:00.5	+181.74%	35.49%	8.08%	5.62%
20	198	Aaron Neylan	Aaron	Neylan	Full	58:56.3	9:29.3	29:01.0	20:26.0	+38:01.5	+181.82%	35.48%	8.05%	5.60%
21	117	Des Gooda	Des	Gooda	Full	59:05.3	8:19.6	27:50.5	22:55.3	+38:10.5	+182.54%	35.39%	7.82%	5.36%
22	30	Alex Torrance	Alex	Torrance	Full	59:09.8	8:35.5	28:11.7	22:22.6	+38:15.0	+182.90%	35.35%	7.70%	5.24%
