Place	Bib	Name	First name	Last name	Distance	Time	Lap 1	Lap 2	Lap 3	Difference	% Back	% Winning	% Average	% Median
1	7	Alex Gilks	Alex	Gilks	Full	48:51.5	-	-	14:25.6	-	-	100%	27.68%	26.31%
2	159	Simon Harradence	Simon	Harradence	Full	50:03.8	8:06.6	24:31.5	17:25.7	+1:12.3	+2.47%	97.59%	25.89%	24.49%
3	46	Kyle Mooney	Kyle	Mooney	Full	52:29.9	8:17.6	25:28.4	18:44.0	+3:38.4	+7.45%	93.07%	22.29%	20.82%
4	47	Ben Hall	Ben	Hall	Full	52:46.8	8:08.4	25:33.3	19:05.1	+3:55.3	+8.03%	92.57%	21.87%	20.39%
5	88	John King	John	King	Full	54:56.1	9:00.0	26:45.9	19:10.1	+6:04.6	+12.44%	88.94%	18.68%	17.14%
6	151	Craig Telling	Craig	Telling	Full	55:31.0	9:03.0	26:43.7	19:44.3	+6:39.5	+13.63%	88.01%	17.82%	16.27%
7	212	Dean Webb	Dean	Webb	Full	56:11.3	8:49.7	27:02.8	20:18.8	+7:19.8	+15.00%	86.95%	16.83%	15.25%
8	104	Viv Wright	Viv	Wright	Full	57:37.2	9:07.9	28:03.0	20:26.3	+8:45.7	+17.93%	84.79%	14.71%	13.09%
9	14	Clive Pearce	Clive	Pearce	Full	58:07.3	10:24.7	26:37.3	21:05.3	+9:15.8	+18.96%	84.06%	13.97%	12.34%
10	251	Dan Johnson	Dan	Johnson	Full	58:55.6	7:49.7	30:01.0	21:04.9	+10:04.1	+20.61%	82.91%	12.77%	11.12%
11	20	Gerard Robards	Gerard	Robards	Full	59:24.1	10:08.2	27:01.9	22:14.0	+10:32.6	+21.58%	82.25%	12.07%	10.41%
12	107	Marcel Van Kampen	Marcel	Van Kampen	Full	1:01:18.7	8:18.0	28:45.0	24:15.7	+12:27.2	+25.49%	79.69%	9.24%	7.53%
13	71	Danny Warner	Danny	Warner	Full	1:03:28.4	10:10.3	29:20.1	23:58.0	+14:36.9	+29.91%	76.97%	6.04%	4.26%
14	51	Sue Van Den Broek	Sue	Van Den Broek	Full	1:03:32.8	9:02.4	31:50.2	22:40.2	+14:41.3	+30.06%	76.89%	5.94%	4.15%
15	282	Corey Swan	Corey	Swan	Full	1:04:29.7	20:12.9	26:53.8	17:23.1	+15:38.2	+32.00%	75.76%	4.53%	2.72%
16	4	Jim Collins	Jim	Collins	Full	1:05:00.7	10:31.1	29:36.5	24:53.1	+16:09.2	+33.06%	75.15%	3.77%	1.94%
17	8	Dave de Closey	Dave	de Closey	Full	1:05:13.0	9:32.9	31:21.6	24:18.5	+16:21.5	+33.48%	74.92%	3.46%	1.64%
18	284	Andrew CARR	Andrew	CARR	Full	1:05:18.4	9:50.0	33:47.4	21:41.0	+16:26.9	+33.67%	74.81%	3.33%	1.50%
19	85	Terence Simpson	Terence	Simpson	Full	1:05:51.4	8:46.1	31:09.3	25:56.0	+16:59.9	+34.79%	74.19%	2.52%	0.67%
20	105	Darren Jones	Darren	Jones	Full	1:06:17.0	10:29.5	29:17.0	26:30.4	+17:25.5	+35.66%	73.71%	1.89%	0.03%
21	80	Mark Collinson	Mark	Collinson	Full	1:06:19.1	10:38.0	32:04.3	23:36.8	+17:27.6	+35.74%	73.67%	1.83%	-0.03%
22	106	Tim Eade	Tim	Eade	Full	1:06:48.6	10:08.5	33:59.8	22:40.4	+17:57.1	+36.74%	73.13%	1.11%	-0.77%
23	55	Mark Whiticker	Mark	Whiticker	Full	1:08:04.0	9:26.7	33:10.6	25:26.7	+19:12.5	+39.31%	71.78%	-0.75%	-2.66%
24	10	Ginny Jones	Ginny	Jones	Full	1:08:08.1	9:31.9	34:12.3	24:23.8	+19:16.6	+39.45%	71.71%	-0.86%	-2.77%
25	162	Peter Stowe	Peter	Stowe	Full	1:09:38.2	10:18.2	36:20.4	22:59.6	+20:46.7	+42.53%	70.16%	-3.08%	-5.03%
